City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
115,Tiksi,RU,71.6872,128.8694,-19.34,100,100,2.77,overcast clouds
116,Vardo,NO,70.3705,31.1107,30.18,80,93,27.63,overcast clouds
117,Fortuna,US,40.5982,-124.1573,60.85,64,0,13.8,clear sky
118,Bambous Virieux,MU,-20.3428,57.7575,79.05,89,40,4.61,scattered clouds
119,Buraydah,SA,26.326,43.975,81.05,20,100,14.85,overcast clouds
120,Okato,NZ,-39.2,173.8833,71.91,61,25,13.62,scattered clouds
121,Shinshiro,JP,34.9,137.5,43.45,50,7,4.85,clear sky
122,Bethel,US,41.3712,-73.414,47.89,63,97,1.59,overcast clouds
123,Georgetown,MY,5.4112,100.3354,80.53,93,20,5.01,few clouds
124,Pokrovsk,UA,48.282,37.1758,16.23,92,88,8.95,overcast clouds
125,Iqaluit,CA,63.7506,-68.5145,-5.31,76,75,3.44,broken clouds
126,Port Hedland,AU,-20.3167,118.5667,80.65,74,40,0.0,scattered clouds
127,Algiers,DZ,36.7525,3.042,51.62,94,0,4.61,clear sky
128,Ongandjera,NA,-17.8833,15.0667,78.58,52,42,6.44,light rain
129,Kavieng,PG,-2.5744,150.7967,82.24,73,100,4.23,overcast clouds
130,Mastic Beach,US,40.7668,-72.8521,48.45,77,0,8.05,clear sky
131,Nikolskoye,RU,59.7035,30.7861,23.72,86,21,6.93,few clouds
132,Sawang Daen Din,TH,17.4753,103.4575,72.18,86,62,7.45,broken clouds
133,Carnarvon,AU,-24.8667,113.6333,75.27,88,0,3.44,clear sky
134,Sao Felix Do Xingu,BR,-6.6447,-51.995,73.99,91,97,2.21,overcast clouds
135,Salalah,OM,17.0151,54.0924,72.27,56,0,1.12,clear sky
136,Barrow,US,71.2906,-156.7887,-14.78,91,0,4.61,clear sky
137,Puerto Suarez,BO,-18.95,-57.8,89.96,74,75,4.61,thunderstorm
138,Mahebourg,MU,-20.4081,57.7,79.09,89,40,4.61,scattered clouds
139,Kruisfontein,ZA,-34.0033,24.7314,64.99,90,0,4.59,clear sky
140,Hilo,US,19.7297,-155.09,82.13,69,20,10.36,few clouds
141,Suntar,RU,62.1444,117.6319,-18.0,98,95,3.0,overcast clouds
142,Nuuk,GL,64.1835,-51.7216,-8.1,90,51,6.8,broken clouds
143,Lavrentiya,RU,65.5833,-171.0,9.18,69,0,16.06,clear sky
144,Tanout,NE,14.9709,8.8879,74.19,18,10,13.38,clear sky
145,Puerto Del Rosario,ES,28.5004,-13.8627,64.15,68,20,12.66,few clouds
146,Necochea,AR,-38.5473,-58.7368,64.58,56,65,11.34,broken clouds
147,Nangomba,TZ,-10.9,38.5,72.41,96,99,3.71,overcast clouds
148,Marienburg,PL,54.0359,19.0266,29.88,51,17,8.08,few clouds
149,Langxiang,CN,46.95,128.8833,20.91,78,3,9.26,clear sky
150,East London,ZA,-33.0153,27.9116,71.04,86,11,5.39,few clouds
151,Saldanha,ZA,-33.0117,17.9442,64.45,89,0,9.48,clear sky
152,Pouebo,NC,-20.4,164.5667,82.4,64,67,3.09,broken clouds
153,Teofilo Otoni,BR,-17.8575,-41.5053,71.67,90,42,2.15,scattered clouds
154,Novoagansk,RU,61.9449,76.6625,-15.29,96,81,6.35,broken clouds
155,Biak,ID,-0.9131,122.8766,76.44,87,48,0.56,scattered clouds
156,Hobart,AU,-42.8794,147.3294,58.26,68,75,10.36,broken clouds
157,Kichera,RU,55.9375,110.0997,2.89,96,92,1.41,overcast clouds
158,Almenara,BR,-16.1836,-40.6944,76.75,81,95,4.5,light rain
159,Patu,BR,-6.11,-37.6367,82.06,67,98,8.46,overcast clouds
160,Faya,SA,18.3851,42.4509,62.71,54,50,4.34,scattered clouds
