City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Cherskiy,RU,2022-03-10 21:47:45,68.75,161.3,10.24,78,100,6.91
93,Tuatapere,NZ,2022-03-10 21:42:21,-46.1333,167.6833,65.97,63,100,7.36
94,Bengkulu,ID,2022-03-10 21:48:45,-3.8004,102.2655,75.94,89,100,4.47
95,Coihaique,CL,2022-03-10 21:46:34,-45.5752,-72.0662,66.81,52,40,9.22
96,Zhigansk,RU,2022-03-10 21:48:46,66.7697,123.3711,-12.17,95,100,5.41
97,Olafsvik,IS,2022-03-10 21:48:47,64.8945,-23.7142,38.8,92,100,15.14
98,Rosarito,MX,2022-03-10 21:48:47,32.3333,-117.0333,66.42,69,82,3.42
99,Cabo San Lucas,MX,2022-03-10 21:48:48,22.8909,-109.9124,76.6,47,20,11.5
100,Fairbanks,US,2022-03-10 21:48:13,64.8378,-147.7164,23.09,64,100,11.5
101,Chuy,UY,2022-03-10 21:40:34,-33.6971,-53.4616,68.99,79,100,14.25
102,Kieta,PG,2022-03-10 21:42:29,-6.2167,155.6333,81.72,75,76,1.43
103,Bredasdorp,ZA,2022-03-10 21:43:16,-34.5322,20.0403,63.72,88,0,4.61
104,Yumen,CN,2022-03-10 21:42:31,40.2833,97.2,45.52,31,10,17.98
105,Kemijarvi,FI,2022-03-10 21:48:49,66.7131,27.4306,27.36,96,83,9.69
106,Korgoz,AZ,2022-03-10 21:48:50,40.3031,49.62,42.39,73,100,18.79
107,Belaya Gora,RU,2022-03-10 21:48:50,68.5333,146.4167,-17.75,100,99,3.42
108,Aklavik,CA,2022-03-10 21:40:35,68.2191,-135.0107,-5.8,71,100,3.44
109,Camacha,PT,2022-03-10 21:48:51,33.0833,-16.3333,62.02,82,20,12.66
110,Tiksi,RU,2022-03-10 21:45:15,71.6872,128.8694,-19.34,100,100,2.77
111,Neustadt,DE,2022-03-10 21:48:52,49.7117,12.0872,37.15,62,0,8.05
112,Makhu,IN,2022-03-10 21:48:52,31.1033,74.9978,58.3,66,5,3.83
113,Aksu,CN,2022-03-10 21:48:53,41.1231,80.2644,47.44,38,71,6.58
114,Grindavik,IS,2022-03-10 21:41:43,63.8424,-22.4338,45.07,93,75,12.66
115,Concepcion,CL,2022-03-10 21:47:42,-36.827,-73.0498,71.4,49,0,21.85
116,Saint George,US,2022-03-10 21:36:48,37.1041,-113.5841,49.42,28,20,10.36
117,Clyde River,CA,2022-03-10 21:48:54,70.4692,-68.5914,-18.17,76,0,2.3
118,New Norfolk,AU,2022-03-10 21:40:39,-42.7826,147.0587,56.91,63,3,2.95
119,Tasiilaq,GL,2022-03-10 21:43:25,65.6145,-37.6368,22.44,88,100,15.99
120,Kruisfontein,ZA,2022-03-10 21:41:49,-34.0033,24.7314,64.99,90,0,4.59
121,Russell,US,2022-03-10 21:42:15,32.3502,-85.1999,72.97,51,0,3.44
122,Jacareacanga,BR,2022-03-10 21:48:55,-6.2222,-57.7528,76.1,87,82,0.81
123,Vilhena,BR,2022-03-10 21:48:56,-12.7406,-60.1458,75.42,83,75,8.05
124,Makakilo City,US,2022-03-10 21:48:59,21.3469,-158.0858,80.92,63,0,9.22
125,Kloulklubed,PW,2022-03-10 21:40:44,7.0419,134.2556,80.85,78,100,15.41
126,Sao Joao Da Barra,BR,2022-03-10 21:45:14,-21.6403,-41.0511,80.69,82,23,13.67
127,Roma,US,2022-03-10 21:44:03,43.2128,-75.4557,41.83,62,0,4.61
128,Honiara,SB,2022-03-10 21:43:42,-9.4333,159.95,83.14,76,76,2.1
129,Dingle,PH,2022-03-10 21:41:53,10.9995,122.6711,75.24,94,79,6.64
130,Lompoc,US,2022-03-10 21:49:01,34.6391,-120.4579,75.69,60,0,20.0
131,Fenoarivo,MG,2022-03-10 21:49:02,-18.933,47.4354,68.07,94,75,1.14
132,Koutiala,ML,2022-03-10 21:49:02,12.3917,-5.4642,87.66,12,21,9.13
133,Lavrentiya,RU,2022-03-10 21:40:38,65.5833,-171.0,9.18,69,0,16.06
134,Paita,PE,2022-03-10 21:49:03,-5.0892,-81.1144,78.31,69,94,15.86
135,Ribeira Grande,PT,2022-03-10 21:49:04,38.5167,-28.7,57.6,62,40,19.57
136,Krivosheino,RU,2022-03-10 21:49:04,57.3431,83.9261,-23.17,100,97,3.98
137,Norman Wells,CA,2022-03-10 21:48:30,65.282,-126.8329,-3.96,65,75,8.05
138,Kodiak,US,2022-03-10 21:45:26,57.79,-152.4072,42.31,87,100,6.91
139,Hermanus,ZA,2022-03-10 21:40:56,-34.4187,19.2345,67.8,83,0,10.78
140,Katobu,ID,2022-03-10 21:49:05,-4.9408,122.5276,75.61,94,30,2.19
141,Tokoroa,NZ,2022-03-10 21:49:07,-38.2333,175.8667,64.94,73,31,1.99
142,Lugovoy,KZ,2022-03-10 21:50:08,42.9472,72.7644,45.19,72,100,1.07
143,Byron Bay,AU,2022-03-10 21:50:08,-28.65,153.6167,67.89,86,96,9.57
144,Truth Or Consequences,US,2022-03-10 21:50:09,33.1284,-107.2528,66.43,13,0,21.85
145,Djibo,BF,2022-03-10 21:50:09,14.1022,-1.6306,83.62,8,24,9.22
146,Faya,SA,2022-03-10 21:50:10,18.3851,42.4509,62.71,54,50,4.34
147,Torbay,CA,2022-03-10 21:42:31,47.6666,-52.7314,33.58,76,75,24.16
148,Kirakira,SB,2022-03-10 21:50:11,-10.4544,161.9205,83.57,74,79,0.67
149,Seoul,KR,2022-03-10 21:50:05,37.5683,126.9778,38.64,79,40,3.44
150,Cascais,PT,2022-03-10 21:50:12,38.6979,-9.4215,59.5,86,75,23.0
151,Biak,ID,2022-03-10 21:50:12,-0.9131,122.8766,76.44,87,48,0.56
152,Bestobe,KZ,2022-03-10 21:50:13,52.4994,73.0975,-6.16,100,86,7.36
153,Bathsheba,BB,2022-03-10 21:42:29,13.2167,-59.5167,81.21,65,40,28.77
154,Vila Velha,BR,2022-03-10 21:50:14,-20.3297,-40.2925,76.95,83,20,6.91
155,Poum,NC,2022-03-10 21:50:14,-20.2333,164.0167,81.63,69,61,13.02
156,North Bend,US,2022-03-10 21:50:15,43.4065,-124.2243,61.25,73,0,11.5
157,Tigre,AR,2022-03-10 21:50:15,-34.426,-58.5796,74.05,64,20,10.36
158,Marawi,PH,2022-03-10 21:50:16,7.9986,124.2928,69.42,94,65,3.11
159,Auburn,US,2022-03-10 21:47:42,47.3073,-122.2284,50.77,40,75,4.61
160,Mahebourg,MU,2022-03-10 21:50:17,-20.4081,57.7,79.09,89,40,4.61
161,Vestmanna,FO,2022-03-10 21:50:17,62.1564,-7.1664,43.72,81,100,17.27
162,Saint-Pierre,RE,2022-03-10 21:50:18,-21.3393,55.4781,76.91,80,0,5.75
163,Beloha,MG,2022-03-10 21:50:18,-25.1667,45.05,75.56,88,27,13.67
164,Paamiut,GL,2022-03-10 21:49:32,61.994,-49.6678,0.72,94,31,13.6
165,Kununurra,AU,2022-03-10 21:49:34,-15.7667,128.7333,76.98,94,96,0.0
166,Hit,IQ,2022-03-10 21:50:19,33.6416,42.8251,64.36,42,56,7.9
167,Guarapari,BR,2022-03-10 21:50:19,-20.6667,-40.4975,77.81,83,78,9.82
168,Esso,RU,2022-03-10 21:48:17,55.9333,158.7,24.13,94,100,2.21
169,Nikolskoye,RU,2022-03-10 21:50:20,59.7035,30.7861,23.72,86,21,6.93
170,Katsuura,JP,2022-03-10 21:50:20,35.1333,140.3,54.59,65,82,8.1
171,Araraquara,BR,2022-03-10 21:50:21,-21.7944,-48.1756,72.9,77,72,3.47
172,Qui Nhon,VN,2022-03-10 21:50:21,13.7667,109.2333,68.14,90,96,8.55
173,Tezu,IN,2022-03-10 21:50:22,27.9167,96.1667,68.54,26,41,4.7
174,Ndele,CF,2022-03-10 21:50:23,8.4109,20.6473,81.32,35,86,3.11
175,Port Angeles,US,2022-03-10 21:50:23,48.1181,-123.4307,48.74,46,75,5.01
176,Katol,IN,2022-03-10 21:50:24,21.2667,78.5833,75.78,30,14,6.29
177,Wajir,KE,2022-03-10 21:50:24,1.7471,40.0573,79.97,59,74,16.02
178,Longyearbyen,SJ,2022-03-10 21:50:25,78.2186,15.6401,22.84,68,75,11.5
179,Mnogovershinnyy,RU,2022-03-10 21:50:26,53.9353,139.9242,11.34,95,100,7.4
180,Ocean City,US,2022-03-10 21:47:56,39.2776,-74.5746,48.45,64,93,6.46
181,Narsaq,GL,2022-03-10 21:50:27,60.9167,-46.05,-0.69,78,0,4.92
182,Pilikwe,BW,2022-03-10 21:50:27,-22.799,27.1938,71.15,43,61,5.64
183,Korla,CN,2022-03-10 21:41:47,41.7597,86.1469,48.27,33,2,9.22
184,Upernavik,GL,2022-03-10 21:50:28,72.7868,-56.1549,-12.35,98,80,3.04
185,Bartica,GY,2022-03-10 21:50:28,6.4,-58.6167,84.52,93,100,3.94
186,Trairi,BR,2022-03-10 21:50:18,-3.2778,-39.2689,79.36,83,100,8.86
187,Asau,RO,2022-03-10 21:51:29,46.4333,26.4,23.95,78,100,8.3
188,Chokurdakh,RU,2022-03-10 21:42:17,70.6333,147.9167,-16.92,100,96,6.13
189,Dikson,RU,2022-03-10 21:43:44,73.5069,80.5464,-13.38,99,79,13.18
190,Nouakchott,MR,2022-03-10 21:51:31,18.0858,-15.9785,70.21,47,0,15.88
191,Florida,US,2022-03-10 21:47:59,28.7505,-82.5001,69.78,87,0,0.0
192,Flinders,AU,2022-03-10 21:42:30,-34.5833,150.8552,64.38,81,66,5.01
193,Kananga,CD,2022-03-10 21:51:31,-5.8958,22.4178,70.25,86,85,3.42
