City_ID,index,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
121,306,Saint Simons,US,69.85,broken clouds,31.1352,-81.3901,"Holiday Inn Express Saint Simons Island, an IHG Hotel"
122,309,Padang,ID,76.73,moderate rain,-0.9492,100.3543,Mercure Padang
123,310,Cidreira,BR,75.06,overcast clouds,-30.1811,-50.2056,Hotel Castelo
124,312,Brufut,GM,69.89,overcast clouds,13.3814,-16.7518,Sheraton Gambia Hotel Resort & Spa
125,314,Boyolangu,ID,75.02,overcast clouds,-8.1181,111.8935,Yos ega cv
126,316,Ikom,NG,82.22,broken clouds,5.9667,8.7063,Reho Farm & Resort
127,319,Richards Bay,ZA,73.02,few clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
128,321,Chum Phae,TH,79.16,clear sky,16.5443,102.0992,Major Grand
129,322,Acapulco,MX,84.0,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
130,323,Maceio,BR,80.04,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
131,324,Barinitas,VE,78.62,overcast clouds,8.7622,-70.4111,Rapsodia EcoTours
132,325,Itarema,BR,79.68,moderate rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
133,328,Sao Gabriel,BR,70.3,light rain,-30.3364,-54.32,Hotel Obino São Gabriel
134,329,Gizo,SB,82.92,broken clouds,-8.103,156.8419,Imagination Island
135,330,Choix,MX,81.32,overcast clouds,26.7092,-108.3219,Hotel Montesclaros
136,332,Mount Isa,AU,80.37,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
137,333,Sabang,ID,82.17,moderate rain,5.8933,95.3214,Hotel Citra
138,337,Hambantota,LK,75.54,few clouds,6.1241,81.1185,Bungalow 63
139,338,Kiama,AU,69.01,broken clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
140,340,Nabire,ID,76.12,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
141,342,Coquimbo,CL,65.93,few clouds,-29.9533,-71.3436,Hotel San Juan
142,345,Samarai,PG,83.43,broken clouds,-10.6167,150.6667,Nuli Sapi
143,347,Dalbandin,PK,72.99,scattered clouds,28.8947,64.4101,Sanjrani House
144,348,Bouar,CF,74.05,overcast clouds,5.934,15.596,Motel de l'UNITE
145,349,Itoman,JP,66.4,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
146,350,Conakry,GN,80.67,haze,9.538,-13.6773,Riviera Royal Hotel
147,354,Clarence Town,AU,66.81,scattered clouds,-32.5833,151.7833,River Downs Cottage
148,365,Pecos,US,66.29,clear sky,31.4229,-103.4932,Knights Inn & Suites Pecos
149,366,Villamaria,CO,75.67,scattered clouds,5.0449,-75.5146,Hotel Estelar El Cable
150,373,Santa Isabel Do Rio Negro,BR,78.22,broken clouds,-0.4139,-65.0192,Hotel GSA
151,375,Pinheiro Machado,BR,65.59,light rain,-31.5783,-53.3811,Hotel e Restaurante Quitandinha
152,377,Flinders,AU,65.05,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
153,383,Pitimbu,BR,81.19,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
154,384,Port Keats,AU,82.15,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
155,391,Faanui,PF,81.12,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
156,392,Aquiraz,BR,84.29,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
157,393,Afonso Bezerra,BR,84.36,heavy intensity rain,-5.4983,-36.5056,Pousada Shammah
158,396,Bom Jardim,BR,76.08,broken clouds,-7.7958,-35.5872,Pousada do Posto Jose Breno
159,397,Owando,CG,70.47,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
160,401,Kindu,CD,73.62,overcast clouds,-2.95,25.95,Résidence Okanda
161,405,Betioky,MG,76.69,clear sky,-23.7167,44.3833,Bungalows Acacias Hotel
162,407,Sao Joao Da Barra,BR,80.69,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
163,408,Kingaroy,AU,68.04,overcast clouds,-26.5333,151.8333,Ascot Lodge Motel Kingaroy
164,409,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
165,411,Ocos,GT,84.31,clear sky,14.5094,-92.1933,Auto Hotel El Soñador
166,413,Solok,ID,70.41,overcast clouds,-0.7918,100.6593,Mami Hotel & Restaurant
167,414,Vila Velha,BR,76.95,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
168,415,Chongqing,CN,67.1,few clouds,29.5628,106.5528,Somerset Jiefangbei Chongqing Hotel
169,418,Venkatagiri,IN,70.09,scattered clouds,13.9667,79.5833,Sri VishnuYamaha
170,419,Kahului,US,82.98,clear sky,20.8947,-156.47,Maui Seaside Hotel
171,420,Stephenville,US,73.49,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
172,421,Cururupu,BR,75.2,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
173,423,Puri,IN,75.72,scattered clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
174,424,Auki,SB,82.54,broken clouds,-8.7676,160.7034,Auki Motel
175,426,Aloleng,PH,77.32,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
176,427,Ndjole,GA,76.78,overcast clouds,-0.1783,10.7649,Motel Kédyann
177,430,Kasulu,TZ,65.26,overcast clouds,-4.5767,30.1025,Nazaret lodge
178,440,Pizarro,CO,81.37,scattered clouds,4.9533,-77.366,Hotel Limonar
179,441,Vao,NC,78.98,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
180,444,Tete,MZ,72.61,broken clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
181,447,Cozumel,MX,83.95,few clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
182,448,Alofi,NU,77.86,light rain,-19.0595,-169.9187,Taloa Heights
183,449,Byron Bay,AU,66.94,overcast clouds,-28.65,153.6167,Backpackers Inn
184,453,Dingle,PH,75.24,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
185,454,Santa Maria,BR,72.7,light rain,-29.6842,-53.8069,Hotel Morotin
186,461,Tuatapere,NZ,65.97,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
187,464,Culebra,PR,81.0,few clouds,18.303,-65.301,Palmetto Guesthouse
188,466,Kirakira,SB,83.57,broken clouds,-10.4544,161.9205,SanBiz Lodge
189,467,Sibiti,CG,71.83,overcast clouds,-3.6819,13.3499,"LE PAPYRUS (hôtel, bar et restaurant)"
